COMPANY NAME,CITY,STATE,ZIP CODE,STREET ADDRESS CITY,STREET ADDRESS,STREET ADDRESS ZIP,COUNTY,PHONE NUMBER,FAX NUMBER,WEB ADDRESS,LAST NAME,FIRST NAME,CONTACT TITLE,CONTACT GENDER,ACTUAL EMPLOYEE SIZE,EMPLOYEE SIZE RANGE,ACTUAL SALES VOLUME,SALES VOLUME RANGE,Industry,PRIMARY SIC,PRIMARY SIC DESCRIPTION,SECONDARY SIC #1,SECONDARY SIC DESCRIPTION #1,SECONDARY SIC #2,SECONDARY SIC DESCRIPTION #2,CREDIT ALPHA SCORE,CREDIT NUMERIC SCORE,HEADQUARTERS/BRANCH,SQUARE FOOTAGE
Halliburton Co,Houston,TX,77242-2807,1401 Mckinney St # 2400,Houston,77010-4040,Harris,7.14E+09,,www.halliburton.com,Lesar,David J,CEO,Male,101000,10000+,2.05E+10,Over $1 Billion,Mining,138912,Oil Well Services,138912,Oil Well Services,154106,General Contrs-Industrial Bldgs & Wrhse,A+,100,Headquarter,"10,000 - 39,999"
Conoco Phillips,Houston,TX,77252-2197,600 N Dairy Ashford St,Houston,77079-1175,Harris,2.81E+09,2.81E+09,www.conocophillips.com,Mulva,James J,CEO,Male,35800,10000+,1.37E+11,Over $1 Billion,Mining,138203,Oil & Gas Exploration & Development,138203,Oil & Gas Exploration & Development,461201,Pipe Line Companies,A+,100,Headquarter,"40,000+"
Fluor Corp,Aliso Viejo,CA,92656-2606,Aliso Viejo,1 Enterprise,92656-2606,Orange,9.49E+09,,www.fluor.com,Boeckmann,Alan L,CEO,Male,34836,10000+,1.32E+10,Over $1 Billion,Mining,131101,Oil & Gas Producers,101198,Iron-Ore,103198,Lead & Zinc Ores,A+,100,Headquarter,"40,000+"
Marathon Oil Corp,Houston,TX,77253-3128,5555 San Felipe St,Houston,77056-2799,Harris,7.14E+09,7.14E+09,www.marathon.com,Cazalot Jr,Clarence P,CEO,Male,27007,10000+,4.99E+10,Over $1 Billion,Mining,131101,Oil & Gas Producers,131101,Oil & Gas Producers,131105,Oil Operators,A+,100,Headquarter,"40,000+"
Baker Hughes Inc,Houston,TX,77210-4740,3900 Essex Ln # 1200,Houston,77027-5170,Harris,7.13E+09,7.13E+09,www.bakerhughes.com,Deaton,Chad C,CEO,Male,26650,10000+,6.10E+09,Over $1 Billion,Mining,138905,Oil Field Service,138203,Oil & Gas Exploration & Development,138999,Oil & Gas-Field Services Nec,A+,100,Headquarter,"40,000+"
Nabors Industries Inc,Houston,TX,77067-4536,515 W Greens Rd # 1200,Houston,77067-4536,Harris,2.82E+09,2.82E+09,www.nabors.com,Isenberg,Eugene M,CEO,Male,17417,10000+,2.39E+09,Over $1 Billion,Mining,138102,Oil Well Drilling,138102,Oil Well Drilling,138905,Oil Field Service,A+,100,Headquarter,"40,000+"
Freeport-Mcmoran Copper & Gold,New Orleans,LA,70151-1777,New Orleans,1615 Poydras St,70112-1254,Orleans,5.05E+09,5.05E+09,www.fcx.com,Adkerson,Richard C,CEO,Male,16241,10000+,2.37E+09,Over $1 Billion,Mining,149901,Mining Companies,147901,Sulphur,874213,Marketing Programs & Services,A+,100,Headquarter,"40,000+"
Peter Kiewit Sons' Inc,Omaha,NE,68131-3374,Omaha,3555 Farnam St # 1000,68131-3374,Douglas,4.02E+09,4.02E+09,www.kiewit.com,Grewcock,Bruce E,CEO,Male,14500,10000+,4.15E+09,Over $1 Billion,Mining,152144,Construction Companies,108101,Metal Mining Services,122102,Coal Mining & Shipping,A+,98,Headquarter,"40,000+"
Newmont Mining Corp,Denver,CO,80203-4500,Denver,1700 Lincoln St,80203-4500,Denver,3.04E+09,3.04E+09,www.newmont.com,Murdy,Wayne W,CEO,Male,13200,10000+,4.52E+09,Over $1 Billion,Mining,149901,Mining Companies,104198,Gold Ores,,,A+,100,Headquarter,"40,000+"
BJ Services Co,Houston,TX,77210-4442,5500 NW Central Dr,Houston,77092-2015,Harris,7.13E+09,7.14E+09,www.bjservices.com,Stewart,J William,CEO,Male,11990,10000+,2.60E+09,Over $1 Billion,Mining,138905,Oil Field Service,138905,Oil Field Service,508414,Engines-Diesel (Wholesale),A+,100,Headquarter,"40,000+"
